lift_from_version	lift_from_property	lift_to_version	lift_to_property	lift_from_concept	lift_to_concept	concept_relationship
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Male Gender	v5.0.2	Male Gender	C46109	C46109	Concept Code Match
v5.0.0	Unspecified	v5.0.2	Unspecified	C38046	C38046	Concept Code Match
v5.0.0	Unspecified	v5.0.2	Unspecified	C38046	C38046	Concept Code Match
v5.0.0	Unspecified	v5.0.2	Unspecified	C38046	C38046	Concept Code Match
v5.0.0	Unspecified	v5.0.2	Unspecified	C38046	C38046	Concept Code Match
v5.0.0	Unspecified	v5.0.2	Unspecified	C38046	C38046	Concept Code Match
v5.0.0	Female Gender	v5.0.2	Female Gender	C46110	C46110	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Intersex	v5.0.2	Intersex	C45908	C45908	Concept Code Match
v5.0.0	Intersex	v5.0.2	Intersex	C45908	C45908	Concept Code Match
v5.0.0	Hispanic or Latino	v5.0.2	Hispanic or Latino	C17459	C17459	Concept Code Match
v5.0.0	Not Hispanic or Latino	v5.0.2	Not Hispanic or Latino	C41222	C41222	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
